"","gene","msc_11_S11.readcounts","msc_12_S12.readcounts","msc_13_S13.readcounts","msc_14_S14.readcounts","msc_15_S15.readcounts"
"1","ENSG00000227232",5,13,21,11,14
"2","ENSG00000278267",2,2,3,0,3
"3","ENSG00000243485",0,0,0,0,0
"4","ENSG00000284332",0,0,0,0,0
"5","ENSG00000237613",0,0,0,0,0
"6","ENSG00000268020",0,0,0,0,0
"7","ENSG00000240361",0,0,0,0,0
"8","ENSG00000186092",0,0,0,0,0
"9","ENSG00000238009",1,0,0,0,0
"10","ENSG00000239945",0,0,0,0,0
"11","ENSG00000233750",0,0,0,0,0
"12","ENSG00000268903",0,0,1,1,0
"13","ENSG00000269981",1,0,0,1,0
"14","ENSG00000239906",0,0,0,0,0
"15","ENSG00000241860",0,0,0,1,2
"16","ENSG00000222623",0,0,0,0,0
"17","ENSG00000241599",0,0,0,0,0
"18","ENSG00000279928",0,2,1,0,0
"19","ENSG00000279457",45,12,20,51,48
"20","ENSG00000273874",0,0,0,0,0
"21","ENSG00000228463",1,13,7,11,7
"22","ENSG00000286448",0,0,0,0,0
"23","ENSG00000236679",1,1,1,1,1
"24","ENSG00000236601",0,0,0,0,0
"25","ENSG00000237094",3,4,6,7,6
"26","ENSG00000269732",0,0,0,0,0
"27","ENSG00000284733",0,0,0,0,0
"28","ENSG00000233653",0,0,0,0,0
"29","ENSG00000250575",0,0,0,0,0
"30","ENSG00000278757",0,0,0,0,0
"31","ENSG00000230021",2,1,0,1,0
"32","ENSG00000235146",0,0,0,0,0
"33","ENSG00000225972",95,18,93,68,61
"34","ENSG00000225630",1833,1412,2153,1959,1575
"35","ENSG00000237973",1525,1213,2442,2265,9761
"36","ENSG00000278791",0,0,0,0,0
"37","ENSG00000229344",634,192,587,663,416
"38","ENSG00000240409",60,20,64,70,24
"39","ENSG00000248527",6897,6436,10700,10499,8874
"40","ENSG00000198744",506,133,534,616,357
"41","ENSG00000268663",0,0,0,0,0
"42","ENSG00000284662",0,0,0,0,0
"43","ENSG00000229376",0,1,0,0,1
"44","ENSG00000228327",16,16,20,26,18
"45","ENSG00000223181",0,0,0,0,0
"46","ENSG00000229905",0,0,0,0,0
"47","ENSG00000237491",4,2,3,5,5
"48","ENSG00000285268",0,0,0,0,0
"49","ENSG00000230092",3,3,4,3,2
"50","ENSG00000177757",0,2,1,0,1
"51","ENSG00000228794",229,340,263,316,232
"52","ENSG00000225880",13,2,5,10,2
"53","ENSG00000230368",0,1,0,0,0
"54","ENSG00000234711",0,1,0,1,0
"55","ENSG00000283040",0,0,0,0,0
"56","ENSG00000272438",0,1,2,0,0
"57","ENSG00000230699",0,0,0,0,0
"58","ENSG00000241180",0,0,0,0,0
"59","ENSG00000223764",0,1,1,0,1
"60","ENSG00000187634",0,2,0,2,0
"61","ENSG00000188976",2313,1921,1838,2084,1836
"62","ENSG00000187961",315,230,245,292,331
"63","ENSG00000187583",11,0,1,5,4
"64","ENSG00000187642",8,8,1,1,1
"65","ENSG00000272512",10,2,6,5,10
"66","ENSG00000188290",350,228,274,298,184
"67","ENSG00000187608",18566,3373,7424,17671,6094
"68","ENSG00000231702",0,0,0,0,0
"69","ENSG00000224969",7,1,3,15,3
"70","ENSG00000188157",11784,4093,6598,10000,8447
"71","ENSG00000242590",0,0,0,0,0
"72","ENSG00000217801",7,3,5,6,4
"73","ENSG00000273443",0,0,0,0,0
