Gene_id	dsc_1	dsc_3	dsc_5	dsc_7	dsc_9	dsc_2	dsc_4	dsc_6	dsc_8	dsc_10	dsc_27	dsc_28	dsc_29	dsc_30	dsc_31
ENSG00000223972	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0
ENSG00000227232	12	26	20	28	24	19	21	19	10	22	273	389	261	129	1
ENSG00000278267	1	4	1	2	2	1	8	1	1	5	13	17	4	7	0
ENSG00000243485	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000284332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000268020	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000240361	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000238009	0	3	0	0	0	2	0	0	0	1	1	5	0	2	0
ENSG00000239945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000268903	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000269981	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0
ENSG00000239906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241860	2	1	2	5	3	2	1	7	3	1	2	20	8	9	0
ENSG00000222623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279928	0	0	3	0	0	0	1	3	0	0	0	1	1	0	0
ENSG00000279457	43	39	29	59	44	60	49	32	41	50	454	392	190	221	2
ENSG00000273874	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000228463	1	5	3	11	4	9	3	1	4	6	36	9	23	30	0
ENSG00000286448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236679	0	0	1	0	0	0	1	0	0	1	1	6	2	5	0
ENSG00000236601	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000237094	3	6	4	0	3	2	6	3	4	2	14	34	22	25	0
ENSG00000269732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000250575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230021	0	5	2	1	0	0	1	0	1	5	15	1	19	8	0
ENSG00000235146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225972	9	11	5	3	29	3	15	9	11	24	87	208	69	256	11
ENSG00000225630	656	793	584	641	773	1159	1244	632	1340	1169	123	271	118	304	24
ENSG00000237973	499	518	442	481	2766	1111	734	473	737	4483	1691	2074	939	2247	117
ENSG00000278791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229344	39	82	27	16	163	29	100	17	92	193	342	530	124	645	13
ENSG00000240409	7	7	3	9	11	8	6	6	13	26	1	0	1	0	0
ENSG00000248527	3473	3961	2876	2947	2934	5030	4165	2197	4274	3456	3319	4817	2436	3738	34
ENSG00000198744	40	64	38	10	124	43	64	24	65	169	230	324	104	448	19
ENSG00000268663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229376	0	0	0	1	0	1	0	0	0	0	1	0	3	3	0
ENSG00000228327	11	31	22	30	16	30	27	32	19	21	69	104	107	51	1
ENSG00000223181	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000229905	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
