"","gene","DSC_27.readcounts","DSC_28.readcounts","DSC_29.readcounts","DSC_30.readcounts","DSC_31.readcounts","MC_27.readcounts","MC_28.readcounts","MC_29.readcounts","MC_30.readcounts","MC_31.readcounts"
"1","ENSG00000227232",273,389,261,129,423,248,184,60,174,348
"2","ENSG00000278267",13,17,4,7,21,18,15,2,10,20
"3","ENSG00000243485",0,0,1,0,4,0,1,0,2,0
"4","ENSG00000284332",0,0,0,0,0,0,0,0,0,0
"5","ENSG00000237613",0,0,0,1,0,0,0,0,0,0
"6","ENSG00000268020",0,0,1,0,0,0,0,0,0,0
"7","ENSG00000240361",0,1,2,0,0,0,0,0,0,0
"8","ENSG00000186092",0,0,0,1,0,0,0,2,0,0
"9","ENSG00000238009",1,5,0,2,3,0,0,0,1,0
"10","ENSG00000239945",0,0,0,0,0,0,0,0,0,0
"11","ENSG00000233750",0,0,0,0,0,1,1,1,0,0
"12","ENSG00000268903",0,0,2,0,2,0,1,0,5,0
"13","ENSG00000269981",0,0,0,0,5,0,1,0,7,0
"14","ENSG00000239906",0,0,0,0,0,0,0,0,0,0
"15","ENSG00000241860",2,20,8,9,4,2,6,5,4,1
"16","ENSG00000222623",0,0,0,0,0,0,0,0,0,0
"17","ENSG00000241599",0,0,0,0,0,0,0,0,0,0
"18","ENSG00000279928",0,1,1,0,0,0,2,1,1,0
"19","ENSG00000279457",454,392,190,221,411,320,158,83,237,349
"20","ENSG00000273874",0,0,1,0,1,1,1,0,0,0
"21","ENSG00000228463",36,9,23,30,36,23,52,16,35,16
"22","ENSG00000286448",0,0,0,0,0,0,0,0,0,0
"23","ENSG00000236679",1,6,2,5,0,3,11,1,1,3
"24","ENSG00000236601",1,0,0,0,0,0,0,0,0,0
"25","ENSG00000237094",14,34,22,25,21,19,16,9,21,9
"26","ENSG00000269732",0,0,0,0,0,0,0,0,0,0
"27","ENSG00000284733",0,0,0,0,0,0,0,0,0,0
"28","ENSG00000233653",1,0,0,0,0,0,0,0,3,0
"29","ENSG00000250575",0,0,0,0,0,1,1,0,0,2
"30","ENSG00000278757",0,0,0,0,0,0,0,0,0,0
"31","ENSG00000230021",15,1,19,8,14,19,7,9,5,9
"32","ENSG00000235146",0,0,0,0,0,0,0,0,0,0
"33","ENSG00000225972",87,208,69,256,47,327,580,773,174,346
"34","ENSG00000225630",123,271,118,304,161,454,740,757,399,419
"35","ENSG00000237973",1691,2074,939,2247,1138,4340,7789,6724,4217,7820
"36","ENSG00000278791",0,0,0,0,0,0,0,0,0,0
"37","ENSG00000229344",342,530,124,645,87,883,1746,1132,505,852
"38","ENSG00000240409",1,0,1,0,4,1,4,2,4,1
"39","ENSG00000248527",3319,4817,2436,3738,1692,7759,9036,8925,6923,10248
"40","ENSG00000198744",230,324,104,448,97,595,1419,1699,370,721
"41","ENSG00000268663",0,0,0,0,0,0,0,0,0,0
"42","ENSG00000284662",0,0,0,0,0,0,0,0,0,0
"43","ENSG00000229376",1,0,3,3,3,3,4,0,1,2
"44","ENSG00000228327",69,104,107,51,138,138,63,35,96,76
"45","ENSG00000223181",0,0,1,0,0,0,0,0,0,0
"46","ENSG00000229905",1,0,0,0,0,0,0,0,0,0
"47","ENSG00000237491",31,45,53,43,69,36,16,6,31,13
"48","ENSG00000285268",0,0,0,0,0,0,0,0,0,0
"49","ENSG00000230092",1,3,18,3,9,8,3,15,8,4
"50","ENSG00000177757",6,3,3,3,11,1,4,10,2,2
"51","ENSG00000228794",363,452,356,373,363,421,436,145,323,267
"52","ENSG00000225880",15,8,4,11,4,11,4,5,9,12
"53","ENSG00000230368",0,0,0,0,0,1,0,0,0,1
"54","ENSG00000234711",0,0,0,0,0,0,0,0,0,0
"55","ENSG00000283040",0,0,0,0,0,1,0,0,0,0
"56","ENSG00000272438",1,3,0,2,1,0,4,0,0,0
"57","ENSG00000230699",3,4,3,6,4,1,4,0,0,1
"58","ENSG00000241180",0,1,0,0,0,0,2,0,0,0
"59","ENSG00000223764",11,6,1,4,7,4,7,0,0,0
"60","ENSG00000187634",45,7,5,1,3,2,4,0,1,0
"61","ENSG00000188976",2681,2012,1877,1859,1757,3448,2025,425,1931,1529
"62","ENSG00000187961",998,857,642,635,706,746,624,152,665,679
"63","ENSG00000187583",52,26,35,28,32,11,7,0,7,1
"64","ENSG00000187642",3,0,3,1,4,6,7,0,5,0
"65","ENSG00000272512",16,7,3,8,7,15,0,0,7,6
"66","ENSG00000188290",421,400,155,272,187,709,459,54,577,360
"67","ENSG00000187608",864,1060,862,781,638,23648,3552,1786,21667,5627
"68","ENSG00000231702",1,0,0,1,0,3,1,0,2,1
"69","ENSG00000224969",10,16,8,7,10,68,19,3,68,52
"70","ENSG00000188157",42940,47398,27802,30025,30049,16759,4827,1272,9136,5360
"71","ENSG00000242590",0,0,0,0,0,0,0,0,0,0
"72","ENSG00000217801",165,232,115,123,146,32,13,5,26,10
"73","ENSG00000273443",8,16,6,12,19,4,3,0,1,0
"74","ENSG00000237330",1,0,0,0,0,1,0,0,0,2
"75","ENSG00000131591",573,582,403,403,399,474,332,69,336,352
"76","ENSG00000285812",3,4,7,1,17,8,6,1,3,7
"77","ENSG00000223823",0,0,0,0,0,0,0,0,0,0
"78","ENSG00000207730",0,0,0,0,0,0,0,0,0,0
"79","ENSG00000207607",1,0,0,0,0,0,0,0,0,0
"80","ENSG00000198976",0,0,0,0,0,0,0,0,0,0
"81","ENSG00000272141",0,1,0,1,0,0,1,0,0,0
"82","ENSG00000205231",0,1,0,0,0,0,0,0,0,0
"83","ENSG00000162571",1,0,0,0,0,1,0,0,0,0
"84","ENSG00000186891",11,7,12,5,1,0,0,0,1,0
"85","ENSG00000186827",2,1,4,1,0,0,0,0,0,0
"86","ENSG00000078808",9236,8927,6140,6483,5031,6468,4593,1107,5311,3876
"87","ENSG00000176022",2126,1798,1297,1366,1244,1082,979,147,882,589
"88","ENSG00000184163",37,17,13,32,13,25,19,6,32,32
"89","ENSG00000260179",12,5,13,12,12,11,19,0,4,5
"90","ENSG00000160087",2015,1659,1309,1439,1284,1356,1368,241,1103,827
"91","ENSG00000230415",58,78,58,52,61,49,50,15,26,29
"92","ENSG00000162572",566,395,382,350,346,302,338,31,189,153
"93","ENSG00000131584",8457,7364,5937,6372,5584,3106,1879,573,2144,2483
"94","ENSG00000278073",0,0,0,0,0,0,0,0,0,0
"95","ENSG00000169972",407,297,256,276,258,208,112,26,201,145
"96","ENSG00000127054",2863,2549,2320,2290,2249,2766,2016,434,2081,1817
"97","ENSG00000283712",0,0,0,0,0,0,0,0,0,0
"98","ENSG00000240731",89,74,76,76,73,78,48,23,40,40
"99","ENSG00000224051",682,598,486,445,453,758,696,86,599,482
"100","ENSG00000169962",50,33,35,47,31,36,62,16,13,4
"101","ENSG00000107404",3309,2720,2159,1992,1996,2069,1627,336,1656,1531
"102","ENSG00000284372",0,0,0,0,0,0,0,0,0,0
"103","ENSG00000162576",12752,11132,7256,6635,5716,318,540,25,115,90
"104","ENSG00000175756",1698,1478,925,1131,808,1812,1678,251,1609,1101
"105","ENSG00000223663",0,1,3,0,0,1,0,0,0,1
"106","ENSG00000221978",5389,6310,5478,4565,5386,7204,5480,3134,7257,7156
"107","ENSG00000224870",443,364,255,334,303,324,384,85,279,235
"108","ENSG00000242485",1154,1153,956,944,792,1260,1075,297,963,826
"109","ENSG00000264293",0,0,0,0,0,0,0,0,0,0
"110","ENSG00000272455",37,47,18,32,16,75,96,14,47,39
"111","ENSG00000235098",47,57,49,56,41,24,29,14,53,15
"112","ENSG00000225905",5,6,2,1,2,3,2,3,6,1
"113","ENSG00000205116",0,3,1,2,0,0,1,0,0,0
"114","ENSG00000225285",6,17,10,18,4,1,2,0,0,0
"115","ENSG00000179403",2118,3708,1551,2080,1815,289,235,43,229,363
