"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"ENSG00000000003.15",510,609,465,481,499,909,801,409,861,674
"ENSG00000000005.6",10,0,0,0,0,31,2,0,0,0
"ENSG00000000419.12",344,407,388,355,343,489,392,315,373,335
"ENSG00000000457.14",201,225,204,190,185,273,294,192,297,261
"ENSG00000000460.17",79,125,160,96,149,144,153,110,128,121
"ENSG00000000938.13",3,3,5,7,7,6,4,6,15,9
"ENSG00000000971.15",263,89,39,29,30,451,86,28,28,30
"ENSG00000001036.14",1813,1994,1975,1759,1646,2647,2104,1787,2107,1641
"ENSG00000001084.13",331,401,344,317,354,542,537,385,514,498
"ENSG00000001167.14",689,788,713,703,786,915,850,569,718,702
"ENSG00000001460.18",190,277,258,192,194,343,443,256,503,311
"ENSG00000001461.17",1767,2031,1819,2121,1568,3342,3196,2369,2968,2397
"ENSG00000001497.16",386,506,507,444,466,607,546,450,658,507
"ENSG00000001561.7",47,114,90,73,218,61,173,113,121,291
"ENSG00000001617.12",22,8,9,12,11,65,32,27,15,19
"ENSG00000001626.15",0,0,0,0,0,1,1,0,3,0
"ENSG00000001629.10",1669,1978,2066,1774,1895,2417,2260,1648,1867,1863
"ENSG00000001630.17",5362,4737,5429,5358,6699,7442,5181,4348,5681,6196
"ENSG00000001631.15",330,388,443,395,410,575,517,368,496,449
"ENSG00000002016.18",155,247,249,238,179,248,314,188,226,216
"ENSG00000002079.14",1,0,0,1,2,1,1,0,0,0
"ENSG00000002330.13",652,759,771,665,742,888,807,554,764,676
"ENSG00000002549.12",859,890,1031,780,859,1300,1058,837,940,800
"ENSG00000002586.20",13408,15290,14687,11042,11995,16447,15426,11441,13527,9904
"ENSG00000002586.20_PAR_Y",0,0,0,0,0,0,0,0,0,0
"ENSG00000002587.10",190,327,281,106,290,132,184,93,233,186
"ENSG00000002726.20",0,0,0,0,0,0,1,0,0,0
"ENSG00000002745.13",408,1,1,1,2,462,3,2,1,2
"ENSG00000002746.15",6,10,3,6,4,7,7,0,0,0
"ENSG00000002822.15",519,601,626,538,572,655,508,528,416,351
"ENSG00000002834.18",9412,10018,11765,9368,9933,13563,12128,10275,12887,10085
"ENSG00000002919.14",450,389,513,378,435,564,450,384,505,368
"ENSG00000002933.9",0,16,1,3,11,3,17,2,9,7
"ENSG00000003056.8",2208,2353,2465,2012,2039,3000,2533,1872,1992,1850
"ENSG00000003096.14",133,310,223,140,249,157,272,152,207,208
"ENSG00000003137.8",168,43,69,13,15,458,64,65,29,21
"ENSG00000003147.19",102,219,180,149,85,112,196,126,93,86
"ENSG00000003249.13",1158,1239,1216,873,890,1508,1223,850,1423,850
"ENSG00000003393.15",990,1193,1179,1183,1086,1457,1501,1199,1499,1261
"ENSG00000003400.14",18,3,5,1,4,24,0,0,4,1
"ENSG00000003402.20",1177,1484,1514,1575,1471,1930,2265,1589,2590,1776
"ENSG00000003436.16",378,152,65,36,86,569,148,36,55,55
"ENSG00000003509.16",228,277,252,302,254,344,235,262,217,223
"ENSG00000003756.17",1248,1774,1692,1903,1553,1786,2075,1610,1709,1624
"ENSG00000003987.14",0,0,0,0,1,0,0,0,0,0
"ENSG00000003989.17",115,117,53,72,164,64,52,23,92,67
"ENSG00000004059.11",1755,2265,2057,1729,2026,2661,2722,1977,2597,2101
"ENSG00000004139.14",816,1050,820,822,903,1111,1156,682,1098,818
"ENSG00000004142.12",1594,1591,1691,1529,1634,2394,1732,1550,1898,1581
"ENSG00000004399.12",7453,7695,8772,7276,7380,11829,10678,8666,11773,8796
"ENSG00000004455.17",1322,1477,1671,1335,1628,1690,1602,1241,1549,1360
"ENSG00000004468.13",0,0,0,0,0,0,0,0,0,0
"ENSG00000004478.8",1288,1240,1185,946,1343,1956,1444,1021,750,1510
"ENSG00000004487.16",1249,1600,1549,1358,1440,1932,1781,1363,1776,1541
"ENSG00000004534.15",812,1401,1200,1395,1178,964,1424,1024,917,1004
"ENSG00000004660.15",194,244,154,126,163,238,243,96,277,146
"ENSG00000004700.16",1254,1475,1428,1442,1414,1927,1716,1278,1587,1419
"ENSG00000004766.17",362,463,449,405,480,495,470,384,387,422
"ENSG00000004776.13",142,56,32,32,43,194,49,27,37,39
"ENSG00000004777.18",86,196,162,193,216,122,247,176,206,159
"ENSG00000004779.10",583,559,597,529,624,812,595,487,582,549
"ENSG00000004799.8",1,7,5,2,3,8,15,16,9,5
"ENSG00000004809.14",0,0,1,0,1,0,0,0,0,0
"ENSG00000004838.14",9,32,25,21,19,17,30,16,34,12
"ENSG00000004846.16",2,2,4,3,2,0,3,0,3,1
"ENSG00000004848.8",1,0,1,2,1,1,0,0,1,1
"ENSG00000004864.13",981,1336,1106,982,1085,1323,1393,942,1307,1044
"ENSG00000004866.20",147,163,141,142,151,219,85,92,110,74
"ENSG00000004897.12",1470,1371,1570,1394,1411,2184,1612,1305,1901,1415
"ENSG00000004939.15",0,0,0,1,0,0,0,0,0,0
