GeneID GeneName log2FC P.Value adj.P.Value
ENSG00000000003 TSPAN6 0.31269711166416164 1.5989793988609505e-4 0.001942792870426731
ENSG00000001084 GCLC 0.326671783326936 1.357270915850579e-4 0.0016861188130640257
ENSG00000001460 STPG1 0.5459273139299783 3.657456070999666e-6 7.019700357287007e-5
ENSG00000001461 NIPAL3 0.4620574181886968 1.1048766603721655e-9 4.173324102024075e-8
ENSG00000003402 CFLAR 0.329077560477364 4.4663401349332176e-8 1.2619013634823278e-6
ENSG00000003989 SLC7A2 -0.8714704300692099 1.8065224627254765e-5 2.9200228530054504e-4
ENSG00000004399 PLXND1 0.27433735714748664 2.719294097514914e-8 8.082599821724279e-7
ENSG00000005020 SKAP2 -1.7107616104450616 2.977664333700437e-19 3.588389365408384e-17
ENSG00000005108 THSD7A -0.8207489225804657 5.38133560630982e-12 2.906413422737148e-10
ENSG00000005238 ATOSB -0.2200009695421778 4.081523964118523e-4 0.004314092901214776
ENSG00000005339 CREBBP 0.18578165365915 9.770091616956803e-4 0.008971645732036976
ENSG00000005448 WDR54 0.39845214741582574 1.890275985859809e-5 3.0359237615146435e-4
ENSG00000005884 ITGA3 -0.3343758818620853 8.361932900101479e-8 2.2241988186981635e-6
ENSG00000006042 TMEM98 0.3316170657754892 1.8352332954631742e-4 0.002193628633639375
ENSG00000006118 TMEM132A 0.3007248081588827 5.845397924105718e-4 0.005846789834464151
ENSG00000006128 TAC1 -0.39457056383269856 2.5097471968140426e-5 3.900015051891295e-4
ENSG00000006210 CX3CL1 0.6595823182674541 8.199889260711324e-4 0.0077762868444058416
ENSG00000006327 TNFRSF12A -0.3617689363493269 4.261525688250553e-5 6.275388825216837e-4
ENSG00000006459 KDM7A 0.43858322331833194 3.1609215770380615e-4 0.0035063071845478555
ENSG00000006468 ETV1 0.8280438398139698 5.3448317142749585e-28 1.1407673954021793e-25
ENSG00000006652 IFRD1 -0.23910640374293032 0.0010996384260098793 0.009908491717581389
ENSG00000007174 DNAH9 -0.4653981925378539 5.929284812706743e-7 1.3329604118921314e-5
ENSG00000007237 GAS7 -0.21966342158092705 1.2600181645150413e-4 0.0015797043017964584
ENSG00000007944 MYLIP 0.5414761671238021 3.861859514262143e-5 5.729718701436672e-4
ENSG00000008256 CYTH3 0.18244002257523337 4.3614394074443656e-4 0.0045582831329130935
ENSG00000008277 ADAM22 -2.2655922886304443 2.039697437395889e-22 2.9862181903692707e-20
ENSG00000008394 MGST1 1.083831202564669 2.0046167370717046e-11 9.864384860340346e-10
ENSG00000009413 REV3L 0.4036104086247403 6.310018089815421e-7 1.4068724920143338e-5
ENSG00000010219 DYRK4 -0.8118565862209912 7.377458311902607e-10 2.8786712333778563e-8
ENSG00000010278 CD9 -0.29447508968442726 2.2406706746200616e-8 6.785210427503315e-7
ENSG00000010292 NCAPD2 0.2379017502555122 4.254625455361334e-5 6.270440094985527e-4
ENSG00000010803 SCMH1 -0.5891653602173602 5.4296758100156366e-9 1.8148435278193774e-7
ENSG00000011465 DCN 0.7544083962024626 2.852889046432167e-14 2.0588937368449397e-12
ENSG00000011478 QPCTL -0.4448803372578129 7.575129284920982e-5 0.001024377215895994
ENSG00000013441 CLK1 0.3717977181626762 9.102753567623903e-6 1.5887219650291375e-4
ENSG00000018625 ATP1A2 -0.6908397431815625 1.1811066048610513e-4 0.0014945216789366803
ENSG00000020577 SAMD4A -0.47290263510239416 2.2565908782861793e-6 4.4865889347743735e-5
ENSG00000021645 NRXN3 -0.4686119731481298 1.058010317314642e-6 2.2554335464776032e-5
ENSG00000021826 CPS1 -2.1055388576447887 2.404455815931688e-16 2.151259332284336e-14
ENSG00000023516 AKAP11 0.21403551921442573 3.7004392606352184e-4 0.003980162811302544
ENSG00000025039 RRAGD 0.8104349407296149 6.252954069108693e-5 8.715269971224271e-4
ENSG00000025156 HSF2 0.3341758169633249 1.8737855779311468e-4 0.002230787064049077
ENSG00000025772 TOMM34 0.2636319216356571 3.682546915073552e-4 0.003964045575797503
ENSG00000026103 FAS 0.48906696052724147 9.41576867544123e-4 0.008701113306491466
ENSG00000029993 HMGB3 0.4841457166137237 4.916337989539207e-10 1.957144437858136e-8
ENSG00000030419 IKZF2 -0.8272487882034237 7.875173021745597e-5 0.0010584877851306772
ENSG00000032389 EIPR1 -0.5333237869174698 1.3340086922326038e-6 2.7900783923141178e-5
ENSG00000033100 CHPF2 -0.37097966612724553 1.251964706298586e-10 5.305874347387428e-9
ENSG00000033122 LRRC7 -1.6389539343103194 7.657584123297164e-21 1.0276825965470401e-18
ENSG00000033170 FUT8 -0.5463398724083622 9.040176894665569e-11 3.9283163623111255e-9
ENSG00000033627 ATP6V0A1 0.32228814717005255 3.5238756623896304e-7 8.323394314564307e-6
