"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"ENSG00000000003.15",510,609,465,481,499,593,895,1061,937,815
"ENSG00000000005.6",10,0,0,0,0,0,0,0,0,0
"ENSG00000000419.12",344,407,388,355,343,558,742,513,490,354
"ENSG00000000457.14",201,225,204,190,185,225,275,354,300,262
"ENSG00000000460.17",79,125,160,96,149,280,92,75,159,126
"ENSG00000000938.13",3,3,5,7,7,17,18,2,2,0
"ENSG00000000971.15",263,89,39,29,30,419,20,53,60,95
"ENSG00000001036.14",1813,1994,1975,1759,1646,1726,1703,1805,2041,1512
"ENSG00000001084.13",331,401,344,317,354,721,1553,1757,1223,1149
"ENSG00000001167.14",689,788,713,703,786,855,931,881,741,679
"ENSG00000001460.18",190,277,258,192,194,290,497,517,299,385
"ENSG00000001461.17",1767,2031,1819,2121,1568,863,1026,1584,882,1364
"ENSG00000001497.16",386,506,507,444,466,783,536,606,665,538
"ENSG00000001561.7",47,114,90,73,218,1,1,0,0,1
"ENSG00000001617.12",22,8,9,12,11,6,4,2,4,6
"ENSG00000001626.15",0,0,0,0,0,0,0,0,0,0
"ENSG00000001629.10",1669,1978,2066,1774,1895,1988,1892,1912,2097,1587
"ENSG00000001630.17",5362,4737,5429,5358,6699,6169,6594,6829,9427,8333
"ENSG00000001631.15",330,388,443,395,410,497,515,577,444,413
"ENSG00000002016.18",155,247,249,238,179,213,216,190,213,182
"ENSG00000002079.14",1,0,0,1,2,0,1,1,0,0
"ENSG00000002330.13",652,759,771,665,742,596,613,1166,893,998
"ENSG00000002549.12",859,890,1031,780,859,8209,2780,2566,5397,2498
"ENSG00000002586.20",13408,15290,14687,11042,11995,10047,7287,12713,14425,15080
"ENSG00000002586.20_PAR_Y",0,0,0,0,0,0,0,0,0,0
"ENSG00000002587.10",190,327,281,106,290,19,1,1,5,6
"ENSG00000002726.20",0,0,0,0,0,0,0,0,0,0
"ENSG00000002745.13",408,1,1,1,2,0,0,0,0,0
"ENSG00000002746.15",6,10,3,6,4,0,0,2,16,0
"ENSG00000002822.15",519,601,626,538,572,2812,2535,4275,3062,2567
"ENSG00000002834.18",9412,10018,11765,9368,9933,6510,6685,8521,7584,8587
"ENSG00000002919.14",450,389,513,378,435,706,666,771,621,575
"ENSG00000002933.9",0,16,1,3,11,0,2,54,12,28
"ENSG00000003056.8",2208,2353,2465,2012,2039,6993,7010,5782,5172,4691
"ENSG00000003096.14",133,310,223,140,249,156,222,126,47,62
"ENSG00000003137.8",168,43,69,13,15,9,2,2,3,0
"ENSG00000003147.19",102,219,180,149,85,120,152,115,182,159
"ENSG00000003249.13",1158,1239,1216,873,890,1596,1911,5068,3449,3695
"ENSG00000003393.15",990,1193,1179,1183,1086,1154,1647,1230,1216,1317
"ENSG00000003400.14",18,3,5,1,4,9,17,3,2,1
"ENSG00000003402.20",1177,1484,1514,1575,1471,873,677,930,1037,1126
"ENSG00000003436.16",378,152,65,36,86,87,117,222,90,70
"ENSG00000003509.16",228,277,252,302,254,182,191,153,220,221
"ENSG00000003756.17",1248,1774,1692,1903,1553,1611,1857,2129,1941,1838
"ENSG00000003987.14",0,0,0,0,1,1,0,0,0,0
"ENSG00000003989.17",115,117,53,72,164,1828,1469,1248,1988,1554
"ENSG00000004059.11",1755,2265,2057,1729,2026,1773,2412,3352,3014,3292
"ENSG00000004139.14",816,1050,820,822,903,983,609,921,849,960
"ENSG00000004142.12",1594,1591,1691,1529,1634,2733,3075,3242,3343,2639
"ENSG00000004399.12",7453,7695,8772,7276,7380,1415,2137,1803,2094,3911
"ENSG00000004455.17",1322,1477,1671,1335,1628,4547,5561,5933,5073,3914
"ENSG00000004468.13",0,0,0,0,0,22,30,2,26,7
"ENSG00000004478.8",1288,1240,1185,946,1343,3213,4152,3524,2669,2515
"ENSG00000004487.16",1249,1600,1549,1358,1440,1684,1566,1472,1696,1322
"ENSG00000004534.15",812,1401,1200,1395,1178,1008,971,924,1264,954
"ENSG00000004660.15",194,244,154,126,163,108,205,138,195,183
"ENSG00000004700.16",1254,1475,1428,1442,1414,1769,1262,1076,1335,1037
"ENSG00000004766.17",362,463,449,405,480,550,549,750,622,555
"ENSG00000004776.13",142,56,32,32,43,149,429,278,229,220
"ENSG00000004777.18",86,196,162,193,216,130,72,131,176,186
"ENSG00000004779.10",583,559,597,529,624,1210,1456,1411,1251,1007
"ENSG00000004799.8",1,7,5,2,3,575,1114,1396,232,255
"ENSG00000004809.14",0,0,1,0,1,1,3,0,1,0
"ENSG00000004838.14",9,32,25,21,19,14,6,13,30,19
"ENSG00000004846.16",2,2,4,3,2,6180,4602,6874,6613,5971
"ENSG00000004848.8",1,0,1,2,1,2,0,8,0,2
"ENSG00000004864.13",981,1336,1106,982,1085,1434,1102,1267,1414,1253
"ENSG00000004866.20",147,163,141,142,151,3240,5153,5454,5834,3186
"ENSG00000004897.12",1470,1371,1570,1394,1411,2097,1644,1440,1616,1248
"ENSG00000004939.15",0,0,0,1,0,2,3,0,0,0
"ENSG00000004948.15",0,0,0,0,0,1,0,1,0,0
"ENSG00000004961.15",460,411,477,433,481,607,851,591,620,427
"ENSG00000004975.12",1100,1340,1251,1107,1394,2076,2172,3007,2803,2941
"ENSG00000005001.10",0,0,0,0,0,0,0,0,0,0
"ENSG00000005007.12",1495,1575,1620,1478,1612,1631,2501,2216,1489,1689
"ENSG00000005020.13",263,320,287,258,253,789,396,515,275,573
"ENSG00000005022.6",2473,2818,2762,2340,2641,5821,4632,4022,5479,6506
"ENSG00000005059.16",199,305,368,265,356,132,14,10,31,19
"ENSG00000005073.5",18,5,3,3,1,17,5,6,2,1
"ENSG00000005075.15",689,751,766,596,771,534,735,1070,898,898
"ENSG00000005100.13",746,782,1005,826,845,1729,1440,1214,1318,1256
"ENSG00000005102.13",207,44,10,2,4,0,1,0,0,0
"ENSG00000005108.16",624,1086,796,785,568,6,6,20,20,23
"ENSG00000005156.12",760,919,962,802,877,873,1080,1023,865,891
"ENSG00000005175.10",393,463,486,452,481,585,518,455,550,360
"ENSG00000005187.12",1,3,2,0,1,8,5,5,3,6
"ENSG00000005189.19",22,13,19,31,27,46,37,49,61,46
"ENSG00000005194.15",884,1078,1278,1068,1089,1479,1592,1677,1444,1309
"ENSG00000005206.17",1391,2008,1538,1509,1444,1073,885,1324,875,1184
"ENSG00000005238.19",1616,1897,1929,1478,1364,1387,1728,1635,1468,1587
"ENSG00000005243.10",423,308,274,275,310,281,355,412,331,355
"ENSG00000005249.13",294,328,374,217,266,249,242,155,367,235
"ENSG00000005302.19",516,604,563,536,644,652,650,708,719,579
"ENSG00000005339.14",2123,2799,2724,2731,2832,2168,1797,2437,1995,2480
"ENSG00000005379.17",20,22,17,7,26,31,42,42,39,48
"ENSG00000005381.8",0,0,0,0,0,13,26,45,3,4
"ENSG00000005421.9",0,0,1,0,0,0,0,1,1,0
"ENSG00000005436.14",317,313,344,334,400,203,279,211,197,184
"ENSG00000005448.16",188,246,224,185,212,220,146,223,273,258
"ENSG00000005469.11",181,203,199,175,177,368,379,342,282,228
"ENSG00000005471.17",53,53,24,30,17,83,293,523,607,455
"ENSG00000005483.21",1940,2543,2492,2421,2404,1074,1298,1563,1196,1251
"ENSG00000005486.17",1100,1573,1422,1181,1163,1765,3795,4593,2766,2826
"ENSG00000005513.10",2463,3624,3408,3080,3640,265,63,122,170,418
"ENSG00000005700.15",1493,1493,1623,1648,1524,1851,1616,1177,1520,1421
"ENSG00000005801.18",226,245,304,326,236,231,247,261,241,191
"ENSG00000005810.18",1069,1346,1345,1736,1292,2311,1679,1772,1985,2195
"ENSG00000005812.11",1431,1794,1808,1603,1810,714,603,637,728,648
"ENSG00000005844.18",2,0,2,2,1,4,4,6,0,1
"ENSG00000005882.12",794,1202,866,798,768,794,1006,2134,1396,1330
"ENSG00000005884.18",8987,16440,16038,10583,12510,2199,744,1025,1364,993
"ENSG00000005889.15",582,696,710,682,702,661,541,568,505,473
"ENSG00000005893.15",8832,11408,10013,11112,10643,8501,9522,8527,11030,8588
"ENSG00000005961.19",4,9,1,5,9,3,5,1,1,0
"ENSG00000005981.13",1,3,2,1,1,12,22,7,6,3
"ENSG00000006007.12",2063,2618,2410,1968,2554,2617,3513,3690,3011,2968
"ENSG00000006015.17",440,522,455,334,455,543,686,605,688,568
"ENSG00000006016.11",124,55,26,19,20,0,0,1,1,1
"ENSG00000006025.12",170,269,232,242,224,199,286,517,372,416
"ENSG00000006042.12",1005,842,500,590,782,1714,1904,3008,2509,2053
"ENSG00000006047.13",1,0,1,0,0,8,10,6,8,7
"ENSG00000006059.4",0,0,1,0,0,0,0,0,0,0
"ENSG00000006062.17",197,213,224,228,213,146,167,252,181,152
"ENSG00000006071.14",0,62,0,86,1,0,0,0,2,0
"ENSG00000006116.3",0,0,0,1,0,0,0,0,0,0
"ENSG00000006118.14",2380,3565,2255,1928,2392,4120,2200,3605,4180,6654
"ENSG00000006125.18",6000,7182,7729,6839,7015,7839,8473,10374,9298,9257
"ENSG00000006128.12",963,1222,1612,1467,1868,3,4,11,0,2
"ENSG00000006194.10",444,504,499,438,549,562,766,729,569,548
"ENSG00000006210.7",67,118,44,38,47,179,253,139,225,242
"ENSG00000006282.21",959,996,1000,685,594,2459,3791,2467,2511,2157
"ENSG00000006283.18",82,18,7,4,8,2,1,0,1,0
"ENSG00000006327.13",5005,6197,4949,3689,6053,265,103,45,55,43
"ENSG00000006377.11",39,120,43,61,86,0,0,0,0,0
"ENSG00000006432.15",5,9,5,0,6,108,267,93,81,113
"ENSG00000006451.8",1339,1240,1167,910,1182,1202,1342,1320,1221,1118
"ENSG00000006453.14",32,9,6,6,0,1359,1035,1888,1779,1472
"ENSG00000006459.11",176,217,227,194,182,154,221,256,141,166
"ENSG00000006468.14",803,1084,1171,752,830,292,69,33,115,97
"ENSG00000006530.18",423,540,525,503,518,702,726,909,808,686
"ENSG00000006534.16",750,932,924,839,1010,902,1081,1450,1294,1684
"ENSG00000006555.11",0,0,0,0,0,0,9,0,3,1
"ENSG00000006576.16",675,609,764,640,656,905,1071,668,738,597
"ENSG00000006606.8",1,0,0,0,0,1,0,0,0,0
"ENSG00000006607.14",2467,2942,2873,2468,2838,4527,5569,6042,4701,4594
"ENSG00000006611.16",0,0,0,0,0,0,0,0,0,0
