GeneID GeneName log2FC P.Value adj.P.Value
ENSG00000000003 TSPAN6 0.5015119288040555 0.7043756294888833 1
ENSG00000000419 DPM1 0.276179897423263 0.9593669073566466 1
ENSG00000000457 SCYL3 0.22481244032499154 0.9988224592095676 1
ENSG00000000460 FIRRM 0.006021619977038726 0.9963268345151598 1
ENSG00000000938 FGR 0.22578254032165837 0.7175227215318323 1
ENSG00000000971 CFH 0.16773904852139554 0.8001938836074287 1
ENSG00000001036 FUCA2 -0.3111038597440684 0.9981526683281344 1
ENSG00000001084 GCLC 1.5992624213345863 5.277808463752421e-8 3.5841679743099935e-7
ENSG00000001167 NFYA -0.10584669334384872 0.9999989682900048 1
ENSG00000001460 STPG1 0.5739749933844698 0.4870341756554108 0.9378237545953668
ENSG00000001461 NIPAL3 -0.9207361066061713 0.03229220207486449 0.09913499368063497
ENSG00000001497 LAS1L 0.1855042135277029 0.997920948362566 1
ENSG00000001561 ENPP4 -7.360672551799065 5.192533074317365e-23 9.790909706833774e-22
ENSG00000001617 SEMA3F -1.6037837881900174 0.00853358227164688 0.02997703127754718
ENSG00000001629 ANKIB1 -0.21490975462426973 0.999998188541075 1
ENSG00000001630 CYP51A1 0.17024907579171714 0.9944560036539085 1
ENSG00000001631 KRIT1 0.06332378645864983 0.999998919024932 1
ENSG00000002016 RAD52 -0.3026763193690709 0.965092783892626 1
ENSG00000002330 BAD -0.03933147492482118 0.9985058308065955 1
ENSG00000002549 LAP3 1.9974453679059354 4.6966610601356405e-6 2.613682859489696e-5
ENSG00000002586 CD99 -0.36665999399500426 0.8386519762475882 1
ENSG00000002586.1 NA -0.34893907860261075 0.8553786639555371 1
ENSG00000002587 HS3ST1 -5.212742670677046 2.4903654335437536e-14 2.827890467809155e-13
ENSG00000002822 MAD1L1 2.353987962081016 2.6344008579561664e-40 1.0432587452293383e-38
ENSG00000002834 LASP1 -0.6454858552421596 0.28184342317676225 0.6249008942645086
ENSG00000002919 SNX11 0.38685528071188746 0.9406367406782069 1
ENSG00000002933 TMEM176A 0.7274295334500324 0.2588072844538589 0.5850712063744851
ENSG00000003056 M6PR 1.1741646966628843 8.51207828442826e-6 4.607175621879991e-5
ENSG00000003096 KLHL13 -0.9025572649632462 0.14824039662575414 0.37177716320524173
ENSG00000003137 CYP26B1 -4.2546557237780265 5.916893744534895e-7 3.6169197520653703e-6
ENSG00000003147 ICA1 -0.21852292604942974 0.9091817089963949 1
