GeneID GeneName log2FC P.Value adj.P.Value
ENSG00000001084 GCLC 1.5951289161916864 1.6184320379248066e-7 1.4169442453070785e-6
ENSG00000001561 ENPP4 -7.369599462340239 5.89870436864729e-24 1.6866130703012205e-22
ENSG00000001617 SEMA3F -1.6334104239278142 0.004784769612471942 0.020362290432764503
ENSG00000001626 CFTR 6.119355353114506 1.5814286382088375e-4 9.120797727343992e-4
ENSG00000002549 LAP3 1.9856568442152367 8.044654376949391e-6 5.6426343427814715e-5
ENSG00000002587 HS3ST1 -5.2228721796805715 7.969044636389115e-15 1.3283927355473324e-13
ENSG00000002822 MAD1L1 2.3502796308299603 2.1812539979087836e-36 1.116067308740528e-34
ENSG00000003056 M6PR 1.1699631636061791 2.498769853598355e-5 1.634726851193928e-4
ENSG00000003137 CYP26B1 -4.286030007504927 1.9642105887430593e-7 1.7037178497077555e-6
ENSG00000003249 DBNDD1 1.2402292436167757 0.00725023007692103 0.02946156023900497
ENSG00000003989 SLC7A2 3.6837108995025574 3.8121210981210534e-27 1.2921867666490108e-25
ENSG00000004399 PLXND1 -1.9367154006420233 1.5684900686023186e-7 1.3747054679881266e-6
ENSG00000004455 AK2 1.4929898022747734 2.9155979875453045e-18 6.040979837110067e-17
ENSG00000004468 CD38 8.639313965162469 1.061609039525237e-8 1.0565661792228238e-7
ENSG00000004478 FKBP4 1.1436328590351261 2.314545667493618e-4 0.0013003402196663173
ENSG00000004776 HSPB6 1.6639366017233945 0.003925918521990072 0.017078132049122376
ENSG00000004779 NDUFAB1 0.8825055468798608 0.003474625404546084 0.015326187991304542
ENSG00000004799 PDK4 7.303023685879737 1.102127469433411e-34 5.2832556246764534e-33
ENSG00000004846 ABCB5 10.957007011436735 1.9514558701471562e-225 2.6348990815586935e-222
ENSG00000004866 ST7 4.722921058454773 8.092250088545287e-119 2.694165015780885e-116
ENSG00000005059 MCUB -2.795544248109123 1.649974518424322e-5 1.1080679938044962e-4
ENSG00000005102 MEOX1 -7.58807165226823 5.379201880028036e-6 3.862219275988224e-5
ENSG00000005108 THSD7A -5.87259869456226 1.2754882752678128e-51 1.0726459184120735e-49
ENSG00000005381 MPO 8.716643253238624 9.443184796642968e-9 9.44473923035435e-8
ENSG00000005436 GCFC2 -0.8900843443202479 0.012972344152587984 0.048979315253145625
ENSG00000005471 ABCB4 3.0955041760604094 1.1999908462114182e-8 1.1865165795900044e-7
ENSG00000005483 KMT2E -1.0847272477003602 2.4638988122053023e-6 1.8522300257295908e-5
ENSG00000005513 SOX8 -4.077459917765994 2.1868217076131935e-17 4.3528677134996767e-16
ENSG00000005812 FBXL3 -1.5784890965436293 1.2800590831033078e-23 3.5924429510095605e-22
ENSG00000005884 ITGA3 -3.509329864490533 6.65491788237434e-24 1.8961444808115588e-22
ENSG00000005981 ASB4 1.757189806827312 0.011590566905140692 0.044424718193114554
ENSG00000006016 CRLF1 -4.958778718444698 2.35809029594511e-11 2.984949299617185e-10
