GeneID GeneName log2FC P.Value adj.P.Value
ENSG00000000003 TSPAN6 0.4978756379498284 0.7007704338711537 1
ENSG00000000005 TNMD -0.36586804584176064 0.11811776787226615 0.30657136163685994
ENSG00000000419 DPM1 0.27249288255982634 0.9562856314153175 1
ENSG00000000457 SCYL3 0.22192267531310578 0.9983699027255094 1
ENSG00000000460 FIRRM 0.0024533314202903507 0.9987908022900791 1
ENSG00000000938 FGR 0.23991028984401197 0.7069970479237665 1
ENSG00000000971 CFH 0.14511640342689505 0.8208072055778459 1
ENSG00000001036 FUCA2 -0.3144213491350455 0.9958516453463387 1
ENSG00000001084 GCLC 1.5951289161916864 1.6184320379248066e-7 1.4169442453070785e-6
ENSG00000001167 NFYA -0.1081417483556733 0.999995817479693 1
ENSG00000001460 STPG1 0.5703466210371709 0.4928283649594387 0.8699836805252781
ENSG00000001461 NIPAL3 -0.9232737086436251 0.03751820725991558 0.12106246803571273
ENSG00000001497 LAS1L 0.18202533560043488 0.9972966897129416 1
ENSG00000001561 ENPP4 -7.369599462340239 5.89870436864729e-24 1.6866130703012205e-22
ENSG00000001617 SEMA3F -1.6334104239278142 0.004784769612471942 0.020362290432764503
ENSG00000001626 CFTR 6.119355353114506 1.5814286382088375e-4 9.120797727343992e-4
ENSG00000001629 ANKIB1 -0.21774101463517037 0.9999881839771464 1
ENSG00000001630 CYP51A1 0.1592206691217108 0.9922432234453445 1
ENSG00000001631 KRIT1 0.06014373262457123 0.9999976828199734 1
ENSG00000002016 RAD52 -0.30530184107013747 0.9601960802274202 1
ENSG00000002079 MYH16 -0.44824777993975645 0.41214819755992593 0.7764397948605876
ENSG00000002330 BAD -0.040794258781385394 0.9978212663384025 1
ENSG00000002549 LAP3 1.9856568442152367 8.044654376949391e-6 5.6426343427814715e-5
ENSG00000002586 CD99 -0.3686708255654931 0.8241409517782953 1
ENSG00000002586.1 NA -0.35417314211327805 0.8412995636303752 1
ENSG00000002587 HS3ST1 -5.2228721796805715 7.969044636389115e-15 1.3283927355473324e-13
ENSG00000002726 AOC1 2.9996876332037137 0.02731239131688567 NA
