GeneID GeneName log2FC P.Value adj.P.Value
ENSG00000000003 TSPAN6 0.2908396648141774 0.6697809836468859 0.9999999999999999
ENSG00000000005 TNMD 0.011340685414036954 0.5584978094022685 0.9999999999999999
ENSG00000000419 DPM1 -0.06877897222240228 0.9917743174716557 0.9999999999999999
ENSG00000000457 SCYL3 0.16426547815889544 0.816051279412975 0.9999999999999999
ENSG00000000460 FIRRM 0.005242435651834091 0.9935520275142682 0.9999999999999999
ENSG00000000938 FGR 0.027128489802043524 0.5618825675998678 0.9999999999999999
ENSG00000000971 CFH -0.022853501786870206 0.9409613861528089 0.9999999999999999
ENSG00000001036 FUCA2 0.012460488374498384 0.9999999761936984 0.9999999999999999
ENSG00000001084 GCLC 0.315928270519181 0.5531223549245817 0.9999999999999999
ENSG00000001167 NFYA -0.09899439323595763 0.997963426123352 0.9999999999999999
ENSG00000001460 STPG1 0.5125102456803429 0.0876125050165854 0.9999999999999999
ENSG00000001461 NIPAL3 0.4540059394014193 0.11701592268300208 0.9999999999999999
ENSG00000001497 LAS1L 0.09587425041068504 0.9932645810445858 0.9999999999999999
ENSG00000001561 ENPP4 0.22959849505458463 0.5042004396643377 0.9999999999999999
ENSG00000001617 SEMA3F 0.20272681717298652 0.06460089829442209 0.9999999999999999
ENSG00000001626 CFTR 0.006168384503611573 0.5796857604674167 NA
ENSG00000001629 ANKIB1 -0.03653821253946454 0.9999981160302288 0.9999999999999999
ENSG00000001630 CYP51A1 -0.07334182025535882 0.99999986157886 0.9999999999999999
ENSG00000001631 KRIT1 0.11378401859775172 0.9786468185746687 0.9999999999999999
ENSG00000002016 RAD52 0.015867846857438556 0.9902401556764799 0.9999999999999999
ENSG00000002079 MYH16 -0.002911403691710124 0.7371219965115718 NA
ENSG00000002330 BAD -0.08949490298566021 0.9989868823825995 0.9999999999999999
ENSG00000002549 LAP3 0.008305070051687749 0.9999974906251121 0.9999999999999999
ENSG00000002586 CD99 -0.13717824339251855 0.9999989920091321 0.9999999999999999
ENSG00000002587 HS3ST1 -0.404460629752636 0.14974552793165152 0.9999999999999999
ENSG00000002726 AOC1 0.0017954950767982924 0.896674553863821 NA
ENSG00000002745 WNT16 0.0016606284984401747 0.9845309456104616 0.9999999999999999
ENSG00000002746 HECW1 -0.04286025661313654 0.05857090335530017 0.9999999999999999
ENSG00000002822 MAD1L1 -0.3131518769992264 0.5082933878868193 0.9999999999999999
ENSG00000002834 LASP1 0.08074691349527671 0.9999999998669334 0.9999999999999999
ENSG00000002919 SNX11 -0.055661949044641335 0.9971281305850381 0.9999999999999999
ENSG00000002933 TMEM176A 0.025605311936723985 0.4876247496479008 0.9999999999999999
ENSG00000003056 M6PR -0.1185324805442847 0.9997626567191675 0.9999999999999999
ENSG00000003096 KLHL13 -0.10643712425353842 0.8973138593568898 0.9999999999999999
ENSG00000003137 CYP26B1 0.32342269127428935 0.2158217332073067 0.9999999999999999
ENSG00000003147 ICA1 -0.2129256065058177 0.5052506602295606 0.9999999999999999
ENSG00000003249 DBNDD1 -0.028306444780152238 0.9997164219183445 0.9999999999999999
ENSG00000003393 ALS2 0.14032467955073863 0.9973103106699027 0.9999999999999999
ENSG00000003400 CASP10 -0.03148915818337715 0.22992028293878258 0.9999999999999999
ENSG00000003402 CFLAR 0.32720058540840424 0.693044686969634 0.9999999999999999
ENSG00000003436 TFPI -0.08617792513425158 0.8290073548358352 0.9999999999999999
ENSG00000003509 NDUFAF7 -0.1005766126601362 0.8682621630752877 0.9999999999999999
ENSG00000003756 RBM5 -0.012303904251850515 0.9999227113580889 0.9999999999999999
ENSG00000003987 MTMR7 -0.002383005163778883 0.8326490737538618 NA
ENSG00000003989 SLC7A2 -0.7902551514078539 0.01644813307107163 0.4621774952729624
ENSG00000004059 ARF5 0.1433968790235344 0.9997904519010674 0.9999999999999999
ENSG00000004139 SARM1 -0.012219268027788463 0.9999977192536491 0.9999999999999999
